Quests Done::Amount
Tom🍭🎨,1070,1132929653112311808
❀𝓓𝓪𝓱𝓵𝓲𝓪❀,692,709831755024171059
Shy.exe😈,552,565486096482304031
Rerepasta,518,360551509793964033
Chameleon,430,358047082902323202
dani,382,1221754595072671758
DaddyB,320,1025587797240848464
𝒮𝒶𝓋 🦭,287,898600620154552320
GraphiksInk,284,323150208366149633
Myst,283,425409389558759434
kill bl,275,1263528217080496158
𝔓𝔯𝔦𝔫𝔠𝔢𝔰𝔰 𝖜𝖔𝖑𝖋𝖎𝖊,275,132929817061359616
Showato aka Ez2bea,251,982591476481544192
baluu,249,1114979011307778140
Mits,227,928359169571041350
coconut,219,825319046333202463
FuX,211,821006688995246192
IROT,206,529162220496748612
Lumen,183,617535242408034315
Rob,182,1201653518461837444
rino 🎈,182,1274725547452268677
Doãn Chí Tưởng,182,1040692655631380480
LGD,178,1275637890667511820
MissEmma,178,235610776176427008
Discount E-Corpse,169,115733624577327113
Nezuko,167,1256686494232612869
sammylove7,166,428361935340175360
Chip,164,267170565712904192
yester,160,665113259476647957
cat 🔹 • Wavy’s E-K,157,358776291962650634
quoc bao,156,1147138748014919800
Lєx,153,250319087484403733
Zooming's Pet Pump,153,479853636147609619
Scooby,149,530193673372041269
Nissri,145,1108973078387634186
Cruise,144,582316553278849047
Jopa,141,1041404714715197550
TYBKD4L,137,321385591335813131
WV,135,1268929771589599247
Caydo,128,759247819575001098
Voarex,123,725508970151936052
✿SILENCE✿,117,403459635798867968
KarmaBack,114,644315458325053450
you a booly if you,114,779422203841740800
UnluckiePeach,110,309492135919353857
GouZt,108,274266011992064011
̠K̠̠r̠̠i̠̠z̠̠q̠™,107,686338747847278641
hunter,105,916466651862560838
Corvus,104,485148948953038848
marjinal🪁,101,686143851035099145
Questing Time::Hours
Tom🍭🎨,352,1132929653112311808
❀𝓓𝓪𝓱𝓵𝓲𝓪❀,336,709831755024171059
Shy.exe😈,233,565486096482304031
Rerepasta,222,360551509793964033
Chameleon,172,358047082902323202
DaddyB,144,1025587797240848464
dani,128,1221754595072671758
Myst,128,425409389558759434
GraphiksInk,119,323150208366149633
baluu,116,1114979011307778140
kill bl,114,1263528217080496158
𝒮𝒶𝓋 🦭,106,898600620154552320
𝔓𝔯𝔦𝔫𝔠𝔢𝔰𝔰 𝖜𝖔𝖑𝖋𝖎𝖊,103,132929817061359616
Lumen,103,617535242408034315
coconut,103,825319046333202463
Showato aka Ez2bea,97,982591476481544192
Mits,85,928359169571041350
FuX,83,821006688995246192
IROT,80,529162220496748612
MissEmma,76,235610776176427008
Nezuko,76,1256686494232612869
Doãn Chí Tưởng,75,1040692655631380480
sammylove7,71,428361935340175360
cat 🔹 • Wavy’s E-K,70,358776291962650634
Lєx,70,250319087484403733
rino 🎈,66,1274725547452268677
Cruise,66,582316553278849047
Discount E-Corpse,66,115733624577327113
Scooby,66,530193673372041269
Rob,66,1201653518461837444
Zooming's Pet Pump,65,479853636147609619
LGD,64,1275637890667511820
yester,63,665113259476647957
quoc bao,63,1147138748014919800
Chip,63,267170565712904192
Jopa,61,1041404714715197550
✿SILENCE✿,57,403459635798867968
WV,56,1268929771589599247
Avanna,52,567109353576857601
KarmaBack,51,644315458325053450
TYBKD4L,50,321385591335813131
Voarex,50,725508970151936052
Caydo,50,759247819575001098
UnluckiePeach,49,309492135919353857
umadbruh,48,564581763075145730
hunter,47,916466651862560838
marjinal🪁,47,686143851035099145
Nissri,46,1108973078387634186
you a booly if you,44,779422203841740800
(pя๐τзсτ๐ʀ) !ρŁџτф,43,303269994706239488
